LEAID,grad_rate,chron_absent,enrolled,absent_rate
100005,94.0,731.0,5444.0,13.42762674504041
100006,91.0,928.0,5698.0,16.286416286416287
100007,94.0,1330.0,14369.0,9.256037302526272
100008,96.0,1066.0,10804.0,9.866716031099592
100011,95.0,241.0,2027.0,11.889491859891466
100012,92.0,355.0,2378.0,14.928511354079058
100013,97.0,313.0,4558.0,6.867046950416849
100030,89.0,334.0,3032.0,11.015831134564644
100060,95.0,269.0,1773.0,15.172024816694869
100090,77.0,374.0,1854.0,20.17259978425027
100100,92.0,268.0,2603.0,10.295812524010756
100120,89.0,421.0,3511.0,11.990885787524922
100180,92.0,498.0,1506.0,33.067729083665334
100185,95.0,525.0,3086.0,17.012313674659755
100189,95.0,153.0,1457.0,10.501029512697322
100190,97.0,615.0,6064.0,10.141820580474931
100194,93.0,278.0,3206.0,8.671241422333125
100210,95.0,488.0,8623.0,5.659283312072365
100240,89.0,1792.0,9070.0,19.7574421168688
100270,88.0,5729.0,31844.0,17.990830297701294
100330,77.0,851.0,3559.0,23.911211014329865
100360,88.0,1003.0,3159.0,31.750553972776196
100390,79.0,6666.0,22842.0,29.18308379301287
100420,93.0,987.0,7774.0,12.696166709544638
100480,87.0,297.0,1418.0,20.944992947813823
100510,83.0,595.0,3060.0,19.444444444444446
100540,92.0,1126.0,8642.0,13.029391344596158
100600,82.0,515.0,3542.0,14.539808018068886
100630,94.0,1059.0,3918.0,27.029096477794795
100660,87.0,1367.0,7654.0,17.859942513718316
100690,82.0,237.0,1363.0,17.388114453411593
100720,93.0,378.0,2571.0,14.7024504084014
100750,87.0,378.0,1923.0,19.65678627145086
100780,94.0,382.0,2584.0,14.783281733746133
100810,95.0,419.0,2014.0,20.80436941410129
100840,93.0,257.0,2584.0,9.945820433436532
100870,82.0,179.0,1503.0,11.909514304723883
100930,92.0,414.0,3116.0,13.286264441591785
100960,92.0,496.0,2224.0,22.302158273381295
100990,93.0,399.0,3251.0,12.273146724084896
101020,94.0,1378.0,9641.0,14.293123120008296
101050,97.0,533.0,3159.0,16.872427983539097
101110,92.0,871.0,3180.0,27.38993710691824
101140,92.0,1555.0,8878.0,17.515206127506193
101170,87.0,1433.0,8849.0,16.19392021697367
101200,92.0,392.0,2309.0,16.977046340407103
101230,87.0,1642.0,8998.0,18.248499666592576
101290,90.0,1650.0,11210.0,14.71900089206066
101320,93.0,1255.0,7216.0,17.39190687361419
101350,92.0,987.0,4237.0,23.29478404531508
101380,95.0,1996.0,8460.0,23.59338061465721
101410,84.0,797.0,2520.0,31.626984126984127
101440,82.0,491.0,1699.0,28.899352560329604
101470,92.0,250.0,2323.0,10.76194575979337
101530,95.0,793.0,4362.0,18.17973406694177
101560,97.0,363.0,3229.0,11.241870548157324
101590,91.0,537.0,3779.0,14.210108494310663
101620,84.0,1266.0,5198.0,24.355521354367063
101660,92.0,545.0,2996.0,18.190921228304404
101680,82.0,177.0,1083.0,16.343490304709142
101690,95.0,298.0,1926.0,15.472481827622014
101710,91.0,392.0,2563.0,15.294576667967224
101720,92.0,269.0,1652.0,16.283292978208234
101730,96.0,457.0,3511.0,13.016234690971237
101740,92.0,316.0,2477.0,12.757367783609205
101760,93.0,297.0,4249.0,6.98987997175806
101770,94.0,1168.0,6363.0,18.356121326418357
101800,88.0,4271.0,23768.0,17.969538875799394
101830,92.0,748.0,5293.0,14.131872284148876
101860,87.0,321.0,1610.0,19.937888198757765
101890,92.0,297.0,2727.0,10.891089108910892
101920,92.0,6336.0,35962.0,17.618597408375507
101950,92.0,410.0,2373.0,17.277707543194268
102010,93.0,1693.0,8255.0,20.50878255602665
102040,93.0,686.0,4792.0,14.31552587646077
102070,90.0,1949.0,9503.0,20.509312848574133
102100,90.0,1734.0,8343.0,20.783890686803307
102160,82.0,252.0,1366.0,18.448023426061493
102190,87.0,399.0,1935.0,20.62015503875969
102220,95.0,2469.0,19531.0,12.641441810455174
102310,89.0,533.0,3219.0,16.55793724759242
102370,86.0,11301.0,56216.0,20.10281770314501
102400,86.0,484.0,3319.0,14.582705634227178
102430,81.0,5416.0,29142.0,18.58486033902958
102480,94.0,1482.0,7751.0,19.12011353373758
102490,97.0,187.0,4334.0,4.314720812182741
102520,96.0,240.0,2850.0,8.421052631578947
102550,92.0,162.0,1497.0,10.821643286573146
102580,88.0,579.0,4489.0,12.898195589218089
102635,94.0,376.0,4076.0,9.224730127576054
102640,92.0,310.0,2088.0,14.846743295019158
102650,90.0,908.0,3955.0,22.9582806573957
102670,95.0,241.0,1312.0,18.36890243902439
102700,97.0,801.0,7128.0,11.237373737373735
102730,98.0,198.0,2557.0,7.743449354712554
102790,92.0,375.0,2193.0,17.099863201094394
102820,92.0,533.0,2416.0,22.061258278145697
102850,95.0,215.0,1558.0,13.7997432605905
102880,88.0,926.0,3502.0,26.442033123929185
102910,95.0,217.0,2456.0,8.835504885993485
102940,92.0,345.0,2519.0,13.69591107582374
102970,89.0,602.0,3083.0,19.526435290301656
103030,95.0,2624.0,20593.0,12.74219394940028
103062,90.0,1237.0,9247.0,13.377311560506111
103090,82.0,291.0,1540.0,18.896103896103895
103120,95.0,392.0,2166.0,18.09787626962142
103150,87.0,367.0,2019.0,18.17731550272412
103180,93.0,1356.0,7569.0,17.91518034086405
103210,93.0,485.0,2877.0,16.857838025721236
103240,92.0,420.0,1799.0,23.346303501945524
103300,92.0,161.0,1157.0,13.915298184961106
103330,92.0,469.0,1929.0,24.313115603939867
103360,91.0,1254.0,10558.0,11.877249479068006
103390,87.0,2428.0,18680.0,12.997858672376877
103420,87.0,253.0,1497.0,16.90046760187041
103430,94.0,545.0,7226.0,7.542208690838638
103450,90.0,1589.0,7424.0,21.40355603448276
103480,90.0,575.0,2651.0,21.68992832893248
103510,92.0,367.0,1679.0,21.858248957712924
103580,84.0,519.0,2365.0,21.945031712473572
200001,61.0,1788.0,4238.0,42.18971212836243
200003,62.0,1034.0,1930.0,53.575129533678755
200006,95.0,26.0,430.0,6.046511627906977
200020,77.0,873.0,2002.0,43.60639360639361
200130,80.0,23.0,337.0,6.824925816023739
200150,82.0,589.0,2360.0,24.95762711864407
200180,81.0,11972.0,46269.0,25.87477576779269
200210,83.0,1049.0,4753.0,22.070271407532086
200240,77.0,409.0,1271.0,32.17938630999213
200390,85.0,2728.0,8106.0,33.65408339501604
200480,87.0,481.0,2274.0,21.152154793315745
200510,83.0,4982.0,18801.0,26.498590500505298
200540,37.0,112.0,183.0,61.20218579234973
200600,78.0,4037.0,13516.0,29.86830423202131
200610,67.0,958.0,2186.0,43.82433668801464
200625,77.0,1135.0,2082.0,54.51488952929875
200862,55.0,71.0,248.0,28.62903225806452
400001,94.0,853.0,5695.0,14.978050921861282
400003,92.0,870.0,2427.0,35.84672435105068
400053,95.0,51.0,703.0,7.254623044096728
400079,22.0,201.0,326.0,61.65644171779141
400082,83.0,487.0,1731.0,28.134026574234543
400107,52.0,2.0,467.0,0.4282655246252677
400112,87.0,1183.0,5943.0,19.905771495877502
400149,52.0,330.0,459.0,71.89542483660131
400212,92.0,332.0,1225.0,27.10204081632653
400219,19.0,75.0,200.0,37.5
400241,95.0,299.0,2474.0,12.085691188358933
400261,18.0,175.0,684.0,25.584795321637426
400295,77.0,2865.0,6939.0,41.2883700821444
400311,32.0,122.0,492.0,24.796747967479675
400327,95.0,239.0,1173.0,20.375106564364877
400330,27.0,187.0,426.0,43.89671361502347
400353,28.0,447.0,487.0,91.78644763860368
400355,37.0,424.0,439.0,96.58314350797266
400450,93.0,2048.0,8026.0,25.51706952404685
400619,87.0,119.0,498.0,23.895582329317268
400621,42.0,87.0,117.0,74.35897435897436
400680,82.0,4111.0,13935.0,29.501255830642272
400790,85.0,1391.0,3666.0,37.94326241134752
400800,95.0,502.0,3063.0,16.389160953313745
400828,95.0,44.0,443.0,9.932279909706546
400880,27.0,171.0,333.0,51.35135135135135
401410,93.0,957.0,4165.0,22.97719087635054
401460,92.0,1817.0,5887.0,30.86461695260744
401600,82.0,613.0,1552.0,39.49742268041237
401740,83.0,884.0,3603.0,24.535109630863168
401760,98.0,692.0,5209.0,13.284699558456516
401870,92.0,6170.0,46115.0,13.379594492030792
401940,71.0,1853.0,3742.0,49.51897381079636
402320,77.0,919.0,2233.0,41.15539632781013
402530,91.0,1108.0,4004.0,27.672327672327672
402690,94.0,4961.0,24927.0,19.902114173386288
402860,86.0,2922.0,9875.0,29.589873417721517
402920,85.0,2413.0,8854.0,27.253218884120173
403010,89.0,1158.0,5473.0,21.158414032523297
403040,92.0,313.0,1337.0,23.410620792819746
403290,87.0,312.0,1140.0,27.368421052631582
403400,91.0,4455.0,35122.0,12.68435738283697
403450,89.0,3959.0,15472.0,25.58815925542916
403500,87.0,710.0,1698.0,41.81389870435807
403780,95.0,2087.0,12414.0,16.811664250040277
403820,92.0,539.0,2034.0,26.499508357915435
403860,1.0,338.0,718.0,47.07520891364902
403870,89.0,1238.0,5671.0,21.830365014988537
403990,91.0,1197.0,4739.0,25.258493353028065
404060,82.0,996.0,1832.0,54.366812227074234
404280,91.0,1247.0,5527.0,22.561968518183463
404630,85.0,3401.0,12002.0,28.33694384269289
404720,76.0,1803.0,6834.0,26.382791922739244
404970,79.0,12663.0,63345.0,19.990528060620413
405070,80.0,332.0,1231.0,26.96994313566206
405530,92.0,1283.0,5881.0,21.816017684067333
405820,82.0,1161.0,2727.0,42.57425742574257
405930,88.0,6220.0,32162.0,19.339593308873827
405980,77.0,820.0,1911.0,42.90947148090005
406070,72.0,898.0,2174.0,41.306347746090154
406250,95.0,5913.0,37867.0,15.615179443842925
406330,82.0,13428.0,27353.0,49.091507330091765
406580,82.0,778.0,2176.0,35.75367647058824
406730,84.0,917.0,3902.0,23.500768836494107
406810,94.0,1363.0,7574.0,17.995775019804594
406960,62.0,1064.0,1566.0,67.94380587484035
407130,77.0,408.0,1330.0,30.67669172932331
407170,95.0,427.0,1697.0,25.16205067766647
407240,83.0,667.0,3020.0,22.08609271523179
407300,86.0,1211.0,6563.0,18.45192747219259
407520,95.0,894.0,3374.0,26.496739774748075
407530,82.0,176.0,443.0,39.729119638826184
407570,90.0,4188.0,23231.0,18.027635487064696
407700,82.0,654.0,2490.0,26.265060240963855
407750,95.0,5593.0,34467.0,16.22711579191691
407820,92.0,575.0,2570.0,22.37354085603113
408170,78.0,4961.0,16016.0,30.975274725274726
408280,95.0,412.0,2119.0,19.443133553563
408340,88.0,3088.0,14003.0,22.052417339141613
408520,90.0,5418.0,11833.0,45.78720527338798
408680,72.0,835.0,1685.0,49.55489614243323
408800,85.0,18254.0,46234.0,39.481766665224725
408850,90.0,2383.0,12896.0,18.478598014888338
409160,67.0,1096.0,2229.0,49.17003140421714
409190,77.0,385.0,1438.0,26.773296244784422
409430,72.0,984.0,1806.0,54.48504983388705
409460,82.0,440.0,2074.0,21.215043394406944
409630,92.0,2422.0,11272.0,21.486870120652945
409733,87.0,216.0,969.0,22.291021671826623
500006,87.0,275.0,1611.0,17.070142768466788
500015,93.0,953.0,4090.0,23.30073349633252
500017,92.0,1020.0,3280.0,31.097560975609756
500019,94.0,176.0,3302.0,5.3301029678982434
500026,74.0,1071.0,3793.0,28.236224624307937
500028,95.0,361.0,1592.0,22.675879396984925
500042,92.0,454.0,1901.0,23.88216728037875
500043,87.0,887.0,3898.0,22.75525910723448
500044,87.0,443.0,2868.0,15.446304044630404
500047,82.0,264.0,1643.0,16.068167985392577
500049,82.0,436.0,2427.0,17.96456530696333
500394,77.0,140.0,2053.0,6.819288845591817
500398,95.0,469.0,1969.0,23.819197562214324
500419,83.0,851.0,4394.0,19.367319071461083
502250,95.0,613.0,3222.0,19.025450031036623
502430,92.0,291.0,1827.0,15.92775041050903
502580,92.0,229.0,1414.0,16.195190947666198
502700,92.0,251.0,1173.0,21.398124467178175
502790,92.0,274.0,1727.0,15.865662999420962
502880,86.0,395.0,3396.0,11.63133097762073
502960,95.0,1037.0,5382.0,19.267930137495355
503030,87.0,133.0,2164.0,6.146025878003697
503060,94.0,2551.0,16869.0,15.122413895310928
