LEAID,grad_rate
100005,94.0
100006,91.0
100007,94.0
100008,96.0
100011,95.0
100012,92.0
100013,97.0
100030,89.0
100060,95.0
100090,77.0
100100,92.0
100120,89.0
100180,92.0
100185,95.0
100189,95.0
100190,97.0
100194,93.0
100210,95.0
100240,89.0
100270,88.0
100330,77.0
100360,88.0
100390,79.0
100420,93.0
100480,87.0
100510,83.0
100540,92.0
100600,82.0
100630,94.0
100660,87.0
100690,82.0
100720,93.0
100750,87.0
100780,94.0
100810,95.0
100840,93.0
100870,82.0
100930,92.0
100960,92.0
100990,93.0
101020,94.0
101050,97.0
101110,92.0
101140,92.0
101170,87.0
101200,92.0
101230,87.0
101290,90.0
101320,93.0
101350,92.0
101380,95.0
101410,84.0
101440,82.0
101470,92.0
101530,95.0
101560,97.0
101590,91.0
101620,84.0
101660,92.0
101680,82.0
101690,95.0
101710,91.0
101720,92.0
101730,96.0
101740,92.0
101760,93.0
101770,94.0
101800,88.0
101830,92.0
101860,87.0
101890,92.0
101920,92.0
101950,92.0
102010,93.0
102040,93.0
102070,90.0
102100,90.0
102160,82.0
102190,87.0
102220,95.0
102310,89.0
102370,86.0
102400,86.0
102430,81.0
102480,94.0
102490,97.0
102520,96.0
102550,92.0
102580,88.0
102635,94.0
102640,92.0
102650,90.0
102670,95.0
102700,97.0
102730,98.0
102790,92.0
102820,92.0
102850,95.0
102880,88.0
102910,95.0
102940,92.0
102970,89.0
103030,95.0
103062,90.0
103090,82.0
103120,95.0
103150,87.0
103180,93.0
103210,93.0
103240,92.0
103300,92.0
103330,92.0
103360,91.0
103390,87.0
103420,87.0
103430,94.0
103450,90.0
103480,90.0
103510,92.0
103580,84.0
200001,61.0
200003,62.0
200006,95.0
200020,77.0
200130,80.0
200150,82.0
200180,81.0
200210,83.0
200240,77.0
200390,85.0
200480,87.0
200510,83.0
200540,37.0
200600,78.0
200610,67.0
200625,77.0
200862,55.0
400001,94.0
400003,92.0
400053,95.0
400079,22.0
400082,83.0
400083,32.0
400103,23.0
400107,52.0
400108,53.0
400112,87.0
400149,52.0
400157,27.0
400163,52.0
400204,37.0
400212,92.0
400219,19.0
400241,95.0
400261,18.0
400273,23.0
400295,77.0
400303,46.0
400311,32.0
400327,95.0
400329,18.0
400330,27.0
400352,32.0
400353,28.0
400354,21.0
400355,37.0
400357,37.0
400385,27.0
400386,22.0
400388,47.0
400389,22.0
400427,52.0
400432,36.0
400450,93.0
400618,37.0
400619,87.0
400621,42.0
